"Trait" "Outcome" "Moderator" "Covariate"
"O" "dementia" "age" "standard"
"PA" "dementia" "age" "standard"
"SWL" "dementia" "age" "standard"
"A" "dementia" "gender" "standard"
"C" "dementia" "gender" "standard"
"E" "dementia" "gender" "standard"
"N" "dementia" "gender" "standard"
"NA" "dementia" "gender" "standard"
"O" "dementia" "gender" "standard"
"PA" "dementia" "gender" "standard"
"SWL" "dementia" "gender" "standard"
"A" "dementia" "education" "standard"
"C" "dementia" "education" "standard"
"E" "dementia" "education" "standard"
"N" "dementia" "education" "standard"
"NA" "dementia" "education" "standard"
"O" "dementia" "education" "standard"
"PA" "dementia" "education" "standard"
"SWL" "dementia" "education" "standard"
"A" "dementia" "cognition" "standard"
"C" "dementia" "cognition" "standard"
"E" "dementia" "cognition" "standard"
"N" "dementia" "cognition" "standard"
"NA" "dementia" "cognition" "standard"
"O" "dementia" "cognition" "standard"
"PA" "dementia" "cognition" "standard"
"SWL" "dementia" "cognition" "standard"
"A" "dementia" "none" "unadjusted"
"C" "dementia" "none" "unadjusted"
"E" "dementia" "none" "unadjusted"
"N" "dementia" "none" "unadjusted"
"NA" "dementia" "none" "unadjusted"
"O" "dementia" "none" "unadjusted"
"PA" "dementia" "none" "unadjusted"
"SWL" "dementia" "none" "unadjusted"
"A" "dementia" "age" "unadjusted"
"C" "dementia" "age" "unadjusted"
"E" "dementia" "age" "unadjusted"
"N" "dementia" "age" "unadjusted"
"NA" "dementia" "age" "unadjusted"
"O" "dementia" "age" "unadjusted"
"PA" "dementia" "age" "unadjusted"
"SWL" "dementia" "age" "unadjusted"
"A" "dementia" "gender" "unadjusted"
"C" "dementia" "gender" "unadjusted"
"E" "dementia" "gender" "unadjusted"
"N" "dementia" "gender" "unadjusted"
"NA" "dementia" "gender" "unadjusted"
"O" "dementia" "gender" "unadjusted"
"PA" "dementia" "gender" "unadjusted"
"SWL" "dementia" "gender" "unadjusted"
"A" "dementia" "education" "unadjusted"
"C" "dementia" "education" "unadjusted"
"E" "dementia" "education" "unadjusted"
"N" "dementia" "education" "unadjusted"
"NA" "dementia" "education" "unadjusted"
"O" "dementia" "education" "unadjusted"
"PA" "dementia" "education" "unadjusted"
"SWL" "dementia" "education" "unadjusted"
"A" "dementia" "cognition" "unadjusted"
"C" "dementia" "cognition" "unadjusted"
"E" "dementia" "cognition" "unadjusted"
"N" "dementia" "cognition" "unadjusted"
"NA" "dementia" "cognition" "unadjusted"
"O" "dementia" "cognition" "unadjusted"
"PA" "dementia" "cognition" "unadjusted"
"SWL" "dementia" "cognition" "unadjusted"
